,DEPARTAMENTO,Year,ODS 1.1.1,ODS 1.2.1,ODS 1.3.1,ODS 1.4.1,ODS 2.1.1,ODS 2.2.1,ODS 2.2.2,ODS 3.1.2,ODS 3.2.1,ODS 3.2.2,ODS 3.3.1,ODS 3.3.2,ODS 3.3.3,ODS 3.3.4,ODS 3.5.2,ODS 3.6.1,ODS 3.7.1,ODS 3.7.2,ODS 3.8.1,ODS 3.a.1,ODS 3.c.1,ODS 4.1.1,ODS 4.1.2,ODS 4.1.3,ODS 4.1.4,ODS 4.2.2,ODS 4.3.1,ODS 4.5.1,ODS 4.6.1,ODS 4.a.1,ODS 4.a.2,ODS 4.a.3,ODS 4.c.1,ODS 5.2.1,ODS 5.5.2,ODS 5.5.3,ODS 5.5.4,ODS 6.1.1,ODS 6.2.1,ODS 7.1.1,ODS 7.1.2,ODS 8.1.1,ODS 8.2.1,ODS 8.5.1,ODS 8.5.2,ODS 8.6.1,ODS 8.7.1,ODS 9.2.2,ODS 10.1.1,ODS 10.2.1,ODS 10.3.1
1,AMAZONAS,2013,13.8,50.5,10.8,50.8,NA,27.1,0.1,59.2,NA,NA,113,22,1,1,NA,10.4,46.2,NA,75.2,NA,227,NA,NA,NA,NA,9.3,17.2,NA,9.3,53.7,41.2,27.7,NA,14.8,NA,NA,NA,83.4,58.6,72.8,32.5,5.1,3,4.4,NA,15.2,54.1,3.6,-0.2,27.8,9.6
2,ANCASH,2013,6.6,21.4,25.2,74.5,NA,22,0.3,93,NA,NA,128,57,0,1,NA,13.8,49.3,NA,68.9,NA,1218,NA,NA,NA,NA,9,24,NA,9,87.2,79.2,51.9,NA,10,NA,NA,NA,91.5,77.8,93.5,50.4,4.3,4.7,5.4,NA,13.2,43.2,7.3,7.7,30.4,12.4
3,APURIMAC,2013,6.6,37.6,12.3,61.1,NA,29,0.4,97.4,NA,NA,3,24,0,12,NA,14,42.5,NA,89.9,NA,367,NA,NA,NA,NA,15.2,28.8,NA,15.2,78.8,59.6,24.8,NA,22.9,NA,NA,NA,91.4,68,90.8,21.1,11.5,6.5,4.1,NA,10.1,49.1,NA,17,26.2,7.4
4,AREQUIPA,2013,2,9,35.3,81,NA,8.7,0.8,95.4,NA,NA,172,54,0,3,NA,14.8,51.7,NA,57.1,NA,4746,NA,NA,NA,NA,4.4,36.8,NA,4.4,87,76.6,57.1,NA,12.3,NA,NA,NA,91.8,83,96.7,89.2,1.1,-2.4,6.6,NA,14.2,12.4,11.7,4.3,21.9,14.7
5,AYACUCHO,2013,13.8,50.5,12.2,70.6,NA,28,0.2,95.5,NA,NA,12,44,249,27,NA,8,45.5,NA,80.8,NA,391,NA,NA,NA,NA,13.4,22.5,NA,13.4,80.6,71.3,31.1,NA,18,NA,NA,NA,88.7,76.9,87.9,26.9,9.7,3.2,3.8,NA,16,43,NA,1.1,29.1,7.8
6,CAJAMARCA,2013,22.6,50.5,10.4,52.9,NA,35.6,0.1,74.4,NA,NA,51,16,1,1,NA,6.9,48.8,NA,77.6,NA,688,NA,NA,NA,NA,14.2,17.7,NA,14.2,62.8,62.7,29.1,NA,6.7,NA,NA,NA,78.8,77.9,73.9,27.7,-1.3,-4.6,4.7,NA,14,66.5,8.9,2.5,29.6,5.8
7,CALLAO,2013,0.1,13.1,42.9,88.8,NA,NA,NA,NA,NA,NA,324,135,0,0,NA,4.4,NA,NA,70.2,NA,2234,NA,NA,NA,NA,2.2,25.7,NA,2.2,99.2,88.4,87.3,NA,NA,NA,NA,NA,95.8,89.8,99.4,98.6,NA,NA,6.6,NA,19.2,10.1,15.8,8.7,19.9,19.8
8,COSTA,2013,0.8,15.7,35.2,83.4,22.4,12.5,0.3,94.5,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,3.2,27.7,1,3.2,NA,NA,NA,NA,NA,NA,NA,34.7,NA,86,98.7,89.8,NA,NA,NA,4.9,17.8,15.1,NA,3.4,NA,16.6
9,COSTA RURAL,2013,5.9,29,NA,NA,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
10,COSTA URBANA,2013,1.1,18.4,NA,NA,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA
11,CUSCO,2013,2,21.4,23.5,66.6,NA,20,0.7,94.6,NA,NA,54,53,55,5,NA,19.5,47.6,NA,70.9,NA,1857,NA,NA,NA,NA,11.4,31.5,NA,11.4,84.9,65.3,24.8,NA,21,NA,NA,NA,89.4,73.1,89.1,46.5,16.3,18.3,5.4,NA,10.6,51.5,7.6,4.2,28,26.4
12,HUANCAVELICA,2013,13.8,50.5,12.6,52.8,NA,42.4,0.8,89.1,NA,NA,16,21,0,0,NA,18.4,33.6,NA,87.4,NA,271,NA,NA,NA,NA,13.8,18.5,NA,13.8,80.5,6.7,6.5,NA,11.5,NA,NA,NA,79.9,60.4,83.7,19.7,3.5,0.9,3.7,NA,6.8,72.1,NA,3.7,30.7,8.6
13,HUANUCO,2013,13.8,37.6,14.2,42.6,NA,29,0.6,87.5,NA,NA,73,45,1,54,NA,5.8,53.1,NA,80.2,NA,545,NA,NA,NA,NA,16,22,NA,16,61.9,40.5,13.9,NA,9.7,NA,NA,NA,63.5,59.2,75.6,34.8,6.7,4.1,4.8,NA,12.9,55.3,5.7,9.6,28.2,10.6
